이름,위치
대전시립박물관,대전 유성구
대전엑스포과학공원,대전 유성구
국립대전현충원 보훈둘레길,대전 유성구
계족산 황톳길,대전 대덕구
대전 중앙시장,대전 동구
대전역 가락국수,대전 동구
이응노 미술관,대전 서구
스카이로드,대전 중구
대전 계족산성,대전 대덕구
솔로몬로파크,대전 유성구
