장소,대실,숙박,위치,별점
유성메이호텔,20000원,95000원,대전유성구봉명동,9.3
대전벨레자호텔,20000원,70000원,대전동구용전동,9.5
대전베스트인시티호텔,20000원,90000원,대전중구대흥동,9.6
문창호텔루이스,20000원,100000원,대전중구문창동,9.4
용전더휴식아늑호텔-2호점,30000원,120000원,대전동구용전동,9.8
유성호텔드메르,30000원,100000원,대전유성구봉명동,9.6
대흥콩,20000원,95000원,대전중구대흥동,9.8
중리만월호텔,20000원,80000원,대전대덕구중리동,9.5
유성K7PC텔,20000원,95000원,대전유성구봉명동,9.3
유성더휴식아늑호텔-2호점,30000원,140000원,대전유성구봉명동,9.8
