장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
풀빌라청도굿스파키즈풀빌라,자계서원차량18분,9.4,B105(개별온천수수영장/키즈놀이터),0원,B106(개별온천수수영장/키즈놀이터),0원,B102(개별온천수수영장/키즈놀이터),0원,B103(개별온천수수영장/키즈놀이터),0원,A304(개별온천수수영장/키즈놀이터),0원,B205(개별온천수수영장/키즈놀이터),199000원,B206(개별온천수수영장/키즈놀이터),199000원,A305(개별온천수수영장/키즈놀이터),249000원,,,,
대전시에스타펜션,대전서구산직동,9.9,202,120000원,101,120000원,102,120000원,201,120000원,,,,,,,,,,,,
대전장태산민가가든,장태산휴양림차량5분,10,201호,0원,102호,120000원,202호,130000원,본채1층,150000원,101호,180000원,본채2층,200000원,별채,200000원,,,,,,
대전풀내음쉼터펜션,형제산차량12분,9.3,채송화,100000원,달맞이,180000원,민들레,180000원,코스모스(3층),300000원,백일홍,350000원,,,,,,,,,,
대전알프스캠핑펜션,장태산휴양림차량6분,8.1,난초(독채),80000원,국화(독채),140000원,연산홍,140000원,개나리,140000원,진달래,160000원,머루,160000원,매화,160000원,다래,160000원,소나무,160000원,수련,160000원
대전장태산루체,장태산휴양림차량2분,8.3,본관105,0원,본관 104,80000원,본관 102,250000원,별관 101,250000원,본관 101,250000원,본관 세미나,250000원,,,,,,,,
논산대둔산수락호수펜션(구산초의집),수락계곡도보11분,10,행복,90000원,기쁨,180000원,사랑,180000원,,,,,,,,,,,,,,
대전장태산의아침,자연휴양림도보18분,10,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
포항자연의소리펜션,화진해수욕장차량7분,8.1,소리방101호,100000원,소리방102호,100000원,소리방103호,200000원,자연방101호,200000원,자연방102호,200000원,자연소리방,350000원,,,,,,,,
