이름,별점,위치,종류
해미가,4.2점,강릉시,회/횟집/참치
길손,4.2점,강릉시,낙지/문어/주꾸미
엄지네포장마차,4.2점,강릉시,포장마차
차현희순두부청국장,4.0점,강릉시,두부/순두부
한성먹거리,4.0점,강릉시,회/횟집/참치
