장소,대실,숙박,위치,별점
경포대오션호텔,30000원,125000원,강원강릉시강문동,9.4
경포대에이치에비뉴호텔,0원,140000원,강원강릉시강문동,9.2
강릉피크닉,25000원,60000원,강원강릉시홍제동,9.4
경포대호텔주노,40000원,160000원,강원강릉시강문동,9.4
경포대WYNN-윈,0원,120000원,강원강릉시강문동,8.6
HOTEL여기어때-경포,40000원,129000원,강원강릉시강문동,9.5
경포대파라다이스,0원,70000원,강원강릉시강문동,9.3
강릉루이스호텔,0원,90000원,강원강릉시옥천동,9.6
경포대호텔큐브,40000원,130000원,강원강릉시강문동,8.7
경포대브라운도트호텔,0원,220000원,강원강릉시강문동,9.6
