이름,위치
강릉오죽한옥마을[한국관광 품질인증/Korea Quality],강원도 강릉시
강릉 올림픽파크,강원도 강릉시
강릉커피거리,강원도 강릉시
강릉 월화거리,강원도 강릉시
강릉 중앙시장,강원도 강릉시
강릉향교,강원도 강릉시
강릉선교장[한국관광 품질인증/Korea Quality],강원도 강릉시
강릉컬링센터 (강릉실내빙상장),강원도 강릉시
강릉 솔향수목원,강원도 강릉시
강릉 모래내 한과마을(갈골한과),강원도 강릉시
