장소,대실,숙박,위치,별점
광주G,20000원,60000원,광주북구신안동,9.6
신안동여기서자자,20000원,75000원,광주북구신안동,9.7
뉴충장로브라운도트충장로점,20000원,80000원,광주동구호남동,9.6
충장로첫번째부띠끄호텔,19000원,78000원,광주동구학동,9.5
첨단YAJAHOTEL,20000원,80000원,광주북구오룡동,9.8
광주호텔더테라스,20000원,100000원,광주광산구우산동,9.3
광주브라운도트첨단점,25000원,90000원,광주광산구쌍암동,9.7
상무지구M,15000원,60000원,광주서구치평동,9.5
첨단벤틀리페라리호텔,30000원,80000원,광주광산구쌍암동,9.6
하남HOTELSTAY35,20000원,70000원,광주광산구우산동,10
