이름,별점,위치,종류
송정떡갈비1호점,4.0점,광산구/송정/수완/첨단,소구이/불고기
연화식당,4.8점,서구-상무/화정,전/빈대떡
RONNIQUE,4.4점,동구-충장/금남/동명,프렌치
미미원,4.4점,동구-충장/금남/동명,한정식
대광식당,4.3점,서구-상무/화정,전/빈대떡
