이름,위치
남광주시장(남광주밤기차야시장),광주 동구
광주 예술의 거리,광주 동구
광주 역사민속박물관,광주 북구
광주호 호수생태원,광주 북구
무등산국립공원,광주 동구
광주 대인시장 (대인예술시장),광주 동구
광주 조선백자 요지,경기도 광주시
전일빌딩245,광주 동구
기박산성 의병 역사공원,광주 북구
사직공원(광주),광주 남구
