이름,별점,위치,종류
삼송빵집본점,3.9점,중구/동성로/중앙로/종로,베이커리/제과점
왕거미식당,3.8점,중구/동성로/중앙로/종로,소구이/불고기
옛집식당,4.4점,중구/동성로/중앙로/종로,해장국/국밥/육개장
신송자신마산식당,4.3점,남구/봉덕/대명,해장국/국밥/육개장
태산만두,4.3점,중구/동성로/중앙로/종로,만두/만두전골
