장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
대구애플호텔펜션,대구동화사차량3분,9.5,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
강진더베이펜션,가우도차량11분,8.4,S2,80000원,카라반,80000원,M1,100000원,M2,100000원,M3,100000원,F1(4월~9월스파가능),150000원,,,,,,,,
군위솔향기펜션,파계사차량28분,9.2,본관 202호,0원,본관 203호,90000원,본관 201호,90000원,별관 201호,110000원,본관 102호,110000원,본관 103호,150000원,별관 101호,180000원,,,,,,
강진바다목장,마량항차량5분,9,102호,100000원,301호,120000원,101호,160000원,,,,,,,,,,,,,,
군위대구펜션,경북군위군부계면남산리,0,202,120000원,303,120000원,302,120000원,201,120000원,203,120000원,301,120000원,101,120000원,,,,,,
