장소,대실,숙박,위치,별점
동대구역스테이앤플레이호텔,20000원,100000원,대구동구신천동,9.4
동성로헤븐스토리,20000원,75000원,대구중구북성로1가,9.2
동대구역H호텔,20000원,100000원,대구동구신천동,9.1
평리호텔하이엔드,20000원,60000원,대구서구평리동,9.7
대구더스테이낭만,25000원,85000원,대구달서구호산동,9.6
대구브라운도트-성당못점,20000원,95000원,대구남구대명동,9.5
대구더스테이낭만-태전점,20000원,85000원,대구북구태전동,9.8
동대구역호텔포레스트701,22000원,130000원,대구동구신천동,9.7
서부정류장앤-Anne,21000원,88000원,대구남구대명동,9.2
평리낭만스테이호텔,20000원,85000원,대구서구평리동,9.5
