이름,위치
대구 근대골목(근대로의 여행),대구 중구
대새목장,대구 달성군
국립대구박물관,대구 수성구
대구 달성공원,대구 중구
대구앞산공원,대구 남구
대구 서문시장 & 서문시장 야시장,대구 중구
표충재 전통체험관[한국관광 품질인증/Korea Quality],대구 동구
대구 계산동성당,대구 중구
대구수목원,대구 달서구
동산청라언덕,대구 중구
