이름,별점,위치,종류
해운대암소갈비집,3.9점,해운대,소구이/불고기
스시연,4.7점,해운대,일식
원조할매집,4.6점,동구/부산역/초량,낙지/문어/주꾸미
마산곱창,4.5점,부산진구/서면,곱창/대창
괘법쭈꾸미전문점,4.5점,사상구/덕포,낙지/문어/주꾸미
