이름,위치
현대 모터스튜디오 부산,부산 수영구
부산다이아몬드타워,부산 중구
부산 송도해수욕장,부산 서구
부산대교,부산 영도구
부산세관박물관,부산 중구
부산 자갈치시장,부산 중구
부산박물관,부산 남구
용두산 자갈치 관광특구,부산 중구
갤러리 ERD 부산,부산 해운대구
신세계사이먼 부산 프리미엄 아울렛,부산 기장군
