이름,별점,위치,종류
주옥,4.4점,시청,퓨전
소이연남,4.4점,연남동,태국
피에르가니에르서울롯데호텔서울,4.3점,시청,프렌치
서울신라호텔팔선,4.3점,동대문/장충/신당,중식
스와니예,4.3점,서래마을,퓨전
