장소,대실,숙박,위치,별점
명동밀리오레호텔,35000원,140000원,서울중구충무로1가,9
종로K-World,35000원,120000원,서울종로구관수동,9.7
종로호텔더포스트,35000원,140000원,서울종로구관수동,9.5
신촌가을,30000원,120000원,서울서대문구창천동,8.9
잠실셀레네,30000원,125000원,서울송파구방이동,9.3
종로부티크호텔K,27000원,70000원,서울종로구관철동,9.4
역삼호텔디아티스트,35000원,150000원,서울강남구역삼동,9.2
건대더디자이너스프리미어-화양동,35000원,135000원,서울광진구화양동,9.4
영등포Blvd호텔오라,35000원,120000원,서울영등포구영등포동3가,9.3
영등포부띠크HotelSB,25990원,139990원,서울영등포구영등포동3가,9.1
