장소,대실,숙박,위치,별점
가평자라,35000원,90000원,경기가평군가평읍대곡리,9.5
가평원스테이,30000원,60000원,경기가평군청평면고성리,9.2
가평케이팝호텔,30000원,77000원,경기가평군가평읍하색리,9.4
가평리버랜드,25000원,85000원,경기가평군설악면회곡리,8.7
청평리오,0원,60000원,경기가평군청평면삼회리,9.1
가평이틀,30000원,65000원,경기가평군청평면대성리,8.8
가평연인산,30000원,50000원,경기가평군북면목동리,10.0
가평파라다이스,25000원,60000원,경기가평군청평면삼회리,8.3
가평돌고래수상리조트,180000원,99000원,경기가평군설악면회곡리,9.4
청평강변,30000원,60000원,경기가평군청평면청평리,8.9
