이름,별점,위치,종류
송원막국수,4.2점,가평군,칼국수/국수
산골농원,4.0점,가평군,닭볶음탕/닭갈비/닭발
언덕마루가평잣두부집,4.0점,가평군,두부/순두부
방일해장국본점,4.0점,가평군,해장국/국밥/육개장
불타는오리,4.0점,가평군,오리고기
