장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
★핫세일특가★마이다스호텔&amp;리조트,청평역차량10분,9.3,[단독특가] 디럭스 트윈,259000원,[단독! 조식 2인] 디럭스 트윈,269000원,,,,,,,,,,,,,,,,
관광가평호텔스위티안,쁘띠프랑스차량3분,9.2,[SNS 뷰맛집] 스탠다드 더블,407000원,[SNS 뷰맛집] 스탠다드 트윈,407000원,[리버뷰 욕조] 가든테라스 디자인 화이트,407000원,[리버뷰 욕조] 디자인 화이트,407000원,[리버뷰 욕조] 디자인 다크,407000원,[MD픽-2인 디너코스] 스탠다드 더블,500000원,[MD픽-2인 디너코스] 스탠다드 트윈,500000원,[MD픽-2인 디너코스] [리버뷰 욕조] 디자인 다크,500000원,[MD픽-2인 디너코스] [리버뷰 욕조] 디자인 ...,500000원,[MD픽-2인 디너코스] [리버뷰 욕조] 가든테라...,500000원
가평W지우리조트,남이섬차량2분,9.1,[한정수량] 프리미어 풀스위트 (전망없음 / ...,159000원,[특가] 슈페리어 더블,279000원,[반짝특가] 슈페리어 더블,280000원,[특가 패키지] 체크인 시 배정 (전망 랜덤배정),295000원,[보팅 2인 패키지] 슈페리어 더블,299000원,[조식 2인 패키지] 슈페리어 더블,300000원,[S컬렉션] 펜트 풀하우스,600000원,,,,,,
관광가평파로티아워터하우스,파로티아수상레저부근,7,스탠다드 발코니,99000원,스탠다드 A,129000원,카바나 디럭스 트윈,159000원,스위트,299000원,패밀리 스위트,399000원,파로티아 스위트,499000원,,,,,,,,
켄싱턴리조트가평,경기가평군상면덕현리,7.6,[조식 2인 패키지] 디럭스 룸 (25평),0원,디럭스 룸 (25평),260000원,프리미어 룸 (28평),340000원,,,,,,,,,,,,,,
2성급청평가족호텔&amp;캐비어파크리조트,청평역차량6분,7.9,스탠다드 더블,100000원,스탠다드 트윈,120000원,,,,,,,,,,,,,,,,
관광트라움호텔,대성리역차량2분,8.8,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
