이름,별점,위치,종류
사량도자연산횟집,4.3점,남구-달동,회/횟집/참치
저수지휴게실,4.2점,울주군,칼국수/국수
떡바우횟집,4.2점,울주군,회/횟집/참치
언양진미불고기,4.0점,울주군,소구이/불고기
OK목장,4.0점,울주군,한정식
