장소,대실,숙박,위치,별점
삼산도브,20000원,70000원,울산남구삼산동,9.7
삼산호텔락,20000원,50000원,울산남구삼산동,9.4
삼산HotelMar,30000원,69500원,울산남구삼산동,9.6
삼산H호텔,25000원,80000원,울산남구삼산동,9.6
경주라쿠스호텔,30000원,120000원,경북경주시진현동,9.9
울산호텔낭만스테이-삼산점,25000원,80000원,울산남구삼산동,9.8
울산호텔그라운드7,25000원,80000원,울산북구진장동,9.8
삼산커스텀호텔,29500원,129000원,울산남구삼산동,9.9
울산V,30000원,70000원,울산중구성남동,9.7
삼산알리바바,25000원,85000원,울산남구삼산동,9.4
