이름,위치
수원 화성 [유네스코 세계문화유산],경기도 수원시
수원화성 관광특구,경기도 수원시
수원박물관,경기도 수원시
수원사(수원),경기도 수원시
수원시미술전시관,경기도 수원시
수원시립아이파크미술관,경기도 수원시
수원 남문시장,경기도 수원시
조개창고 수원점,경기도 수원시
수원광교박물관,경기도 수원시
수원화성박물관,경기도 수원시
