이름,별점,위치,종류
본수원갈비,4.1점,수원-팔달구/인계/행궁,소구이/불고기
진미통닭,4.1점,수원-팔달구/인계/행궁,치킨/통닭
아다미식당,4.4점,수원-팔달구/인계/행궁,순댓국/순대
장안통닭,4.2점,수원-팔달구/인계/행궁,치킨/통닭
입주집,4.1점,수원-팔달구/인계/행궁,곱창/대창
