장소,대실,숙박,위치,별점
수원역J호텔-제이호텔,30000원,100000원,경기수원시팔달구매산로1가,9.3
인계동No.25-수원인계점,22000원,100000원,경기수원시팔달구인계동,9.4
수원역71번가-71st,25000원,85000원,경기수원시팔달구매산로2가,9.1
인계동호텔로와,23000원,90000원,경기수원시팔달구인계동,9.7
수원역하운드호텔,24800원,99800원,경기수원시팔달구매산로2가,9.9
구운동파티즈-구메이트,30000원,130000원,경기수원시권선구구운동,9.4
인계동리치-RICH,25000원,120000원,경기수원시팔달구인계동,9.6
인계동호텔리아체,40000원,115000원,경기수원시팔달구인계동,9.8
인계동부티크엘가,17000원,87000원,경기수원시팔달구인계동,9.3
인계동앨리스,50000원,90000원,경기수원시팔달구인계동,9.9
