이름,위치
인천대교,인천 중구
[인천 개항 누리길] 3시간 코스,인천 중구
[인천 개항 누리길] 1시간 코스,인천 중구
하워드 존슨 인천 에어포트 [한국관광 품질인증/Korea Quality],인천 중구
인천 차이나타운,인천 중구
데이즈 호텔 인천 에어포트 (데이즈 호텔 앤 스위트 인천 에어포트) [한국관광 품질인증/Korea Quality],인천 중구
인천도호부관아,인천 미추홀구
인천상륙작전기념관,인천 연수구
인천도시역사관,인천 연수구
이코노미호텔 인천부평점 [한국관광 품질인증/Korea Quality],인천 부평구
