이름,별점,위치,종류
충남서산집,4.1점,강화도/석모/옹진군,꽃게/랍스터/새우
신승반점,4.4점,중구-동인천/차이나타운/월미도,중식
권오길손국수본점,4.3점,서구/검단,칼국수/국수
변가네옹진냉면,4.3점,미추홀구/주안/인하대,냉면/막국수
부영선지국,4.3점,미추홀구/주안/인하대,전골
