장소,대실,숙박,위치,별점
구월반월아시아드호텔,24990원,90000원,인천남동구구월동,9.5
구월동구월호텔,24990원,100000원,인천남동구구월동,9.4
호구포그랜드팰리스,60000원,99000원,인천남동구논현동,9
간석골든호텔,25000원,90000원,인천남동구간석동,9.5
부평샴푸,23000원,80000원,인천부평구부평동,9.6
검단3SBOUTIQUEHOTEL,30000원,85000원,인천서구당하동,9.6
부평더휴식아늑호텔,30000원,110000원,인천부평구부평동,9.8
구월느낌,25000원,120000원,인천남동구구월동,9.5
연수호텔498,30000원,100000원,인천연수구청학동,9.5
HOTEL여기어때-주안점,25000원,85000원,인천미추홀구주안동,9.6
