이름,별점,위치,종류
옥돔식당,3.9점,모슬포/대정/한경면/마라도,칼국수/국수
올래국수,3.8점,제주시내,칼국수/국수
항구식당,4.6점,모슬포/대정/한경면/마라도,생선구이/생선요리
해비치호텔앤드리조트밀리우,4.5점,남원/표선/성읍,퓨전
우진해장국,4.4점,제주시내,해장국/국밥/육개장
